Species;Gender;TrainingStatus;VO2max;Tissue;FiberType;ExType;ExDuration(sec);ExDuration(min);ExIntencity(%VO2max);CoFactor;Target;TargetOriginal;ImpactType; FoldChange ;FoldChange; ActivationTime(min)  ;" TimePoint (hours)  ";[Target0];[Target1];[Target0txt];[Target1txt];MeasureUnit;MethodOfMeasurement;Commentary;Ref;PMID;Reference
Homo sapiens;;active;;vastus lateralis;IIa;All-Out;10;0.166666667;300;;PCr;Cr;0;0,47;0.47;;;37,7;78,2;37.7;78.2;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;IIax;All-Out;10;0.166666667;300;;PCr;Cr;0;0,38;0.38;;;38,7;78,6;38.7;78.6;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;IIx;All-Out;10;0.166666667;300;;PCr;Cr;0;0,41;0.41;;;36,4;94,9;36.4;94.9;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;I;All-Out;10;0.166666667;300;;PCr;PCr;0;0,54;0.54;;;69,5;37,5;69.5;37.5;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;IIa;All-Out;10;0.166666667;300;;PCr;PCr;0;0,47;0.47;;;73,6;34,3;73.6;34.3;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;IIax;All-Out;10;0.166666667;300;;PCr;PCr;0;0,38;0.38;;;73,3;27,4;73.3;27.4;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;IIx;All-Out;10;0.166666667;300;;PCr;PCr;0;0,41;0.41;;;69,6;28,3;69.6;28.3;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;I;All-Out;10;0.166666667;300;;PCr/Cr;PCr/Cr;0;0,24;0.243858966880549;;;;;;;;reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;IIa;All-Out;10;0.166666667;300;;PCr/Cr;PCr/Cr;0;0,22;0.224673009562994;;;;;;;;reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;IIax;All-Out;10;0.166666667;300;;PCr/Cr;PCr/Cr;0;0,18;0.184049654770211;;;;;;;;reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;IIx;All-Out;10;0.166666667;300;;PCr/Cr;PCr/Cr;0;0,16;0.155959691387183;;;;;;;;reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;I;All-Out;10;0.166666667;300;;ATP;ATP;1;1,04;1.042194092827;;;23,7;24,7;23.7;24.7;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;IIa;All-Out;10;0.166666667;300;;ATP;ATP;0;0,6;0.596837944664032;;;25,3;15,1;25.3;15.1;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;IIax;All-Out;10;0.166666667;300;;ATP;ATP;0;0,33;0.327935222672065;;;24,7;8,1;24.7;8.1;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;IIx;All-Out;10;0.166666667;300;;ATP;ATP;0;0,29;0.292;;;25;7,3;25;7.3;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;I;All-Out;10;0.166666667;300;;IMP;IMP;1;1;1;;;0;0;0;0;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;IIa;All-Out;10;0.166666667;300;;IMP;IMP;1;10,4;10.4;;;0;10,4;0;10.4;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;IMP where n.a. was assigned to 1 for FoldChange calculation, 10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;IIax;All-Out;10;0.166666667;300;;IMP;IMP;1;16,1;16.1;;;0;16,1;0;16.1;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;IMP where n.a. was assigned to 1 for FoldChange calculation, 10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;IIx;All-Out;10;0.166666667;300;;IMP;IMP;1;17,7;17.7;;;0;17,7;0;17.7;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;IMP where n.a. was assigned to 1 for FoldChange calculation, 10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;I;All-Out;10;0.166666667;300;;IMP/ATP;IMP/ATP;1;1;1;;;;;;;;reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;IMP where n.a. was assigned to 1 for FoldChange calculation, 10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;IIa;All-Out;10;0.166666667;300;;IMP/ATP;IMP/ATP;1;17,22;17.2185430463576;;;;;;;;reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;IMP where n.a. was assigned to 1 for FoldChange calculation, 10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;IIax;All-Out;10;0.166666667;300;;IMP/ATP;IMP/ATP;1;49,69;49.6913580246912;;;;;;;;reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;IMP where n.a. was assigned to 1 for FoldChange calculation, 10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;;active;;vastus lateralis;IIx;All-Out;10;0.166666667;300;;IMP/ATP;IMP/ATP;1;60,62;60.6164383561645;;;;;;;;reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;IMP where n.a. was assigned to 1 for FoldChange calculation, 10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;11471535;C. Karatzaferi, A. de Haan, W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3, 411-415.
Homo sapiens;1;trained;55;vastus lateralis;;Endurance;5400;90;65;;PGC-1a;PGC-1a;1;1;1;;;;;;;a.u.;Western blot analysis;cycling for 90 min at an intensity that elicited ~65% VO2peak;Little 2010;20106991;Little JP, Safdar A, Cermak N, Tarnopolsky MA, Gibala MJ. Acute endurance exercise increases the nuclear abundance of PGC-1a in trained human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 298: R912-R917, 2010.
Homo sapiens;1;trained;55;vastus lateralis;;Endurance;5400;90;65;;PGC-1a nuclear;PGC-1a nuclear;1;1,54;1.54;;;;;;;a.u.;Western blot analysis;cycling for 90 min at an intensity that elicited ~65% VO2peak;Little 2010;20106991;Little JP, Safdar A, Cermak N, Tarnopolsky MA, Gibala MJ. Acute endurance exercise increases the nuclear abundance of PGC-1a in trained human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 298: R912-R917, 2010.
Homo sapiens;1;trained;55;vastus lateralis;;Endurance;5400;90;65;;ACCp-;ACCp-;1;5;5;;;;;;;a.u.;Western blot analysis;cycling for 90 min at an intensity that elicited ~65% VO2peak;Little 2010;20106991;Little JP, Safdar A, Cermak N, Tarnopolsky MA, Gibala MJ. Acute endurance exercise increases the nuclear abundance of PGC-1a in trained human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 298: R912-R917, 2010.
Homo sapiens;1;trained;55;vastus lateralis;;Endurance;5400;90;65;;AMPKp-;AMPKp-;1;2;2;;;0,42;0,83;0.42;0.83;a.u.;Western blot analysis;cycling for 90 min at an intensity that elicited ~65% VO2peak;Little 2010;20106991;Little JP, Safdar A, Cermak N, Tarnopolsky MA, Gibala MJ. Acute endurance exercise increases the nuclear abundance of PGC-1a in trained human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 298: R912-R917, 2010.
Homo sapiens;1;trained;55;vastus lateralis;;Endurance;5400;90;65;;muscle glycogen;muscle glycogen;0;0,49;0.48951048951049;;;572;280;572;280;mmol/(kg dry weight);fluorometric enzymatic assay;cycling for 90 min at an intensity that elicited ~65% VO2peak;Little 2010;20106991;Little JP, Safdar A, Cermak N, Tarnopolsky MA, Gibala MJ. Acute endurance exercise increases the nuclear abundance of PGC-1a in trained human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 298: R912-R917, 2010.
Homo sapiens;1;trained;55;vastus lateralis;;Endurance;5400;90;65;;p38 MAPKp-;p38 MAPKp-;1;4,7;4.7;;;;;;;a.u.;Western blot analysis;cycling for 90 min at an intensity that elicited ~65% VO2peak;Little 2010;20106991;Little JP, Safdar A, Cermak N, Tarnopolsky MA, Gibala MJ. Acute endurance exercise increases the nuclear abundance of PGC-1a in trained human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 298: R912-R917, 2010.
Homo sapiens;1;active;45;vastus lateralis;;HIT;120;2;200;;PGC-1a mRNA;PGC-1a mRNA;1;7,5;7.5;;3;;;;;a.u.;Real-time RT-PCR;4 x 30-s all-out cycling separated by 4 min of rest;Little 2011;20106991;Little JP, Safdar A, Bishop D, Tarnopolsky MA, Gibala MJ. An acute bout of high-intensity interval training increases the nuclear abundance of PGC-1a and activates mitochondrial biogenesis in human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 300: R1303-R1310, 2011
Homo sapiens;1;active;45;vastus lateralis;;HIT;120;2;200;;CS mRNA;CS mRNA;1;1,77;1.77;;3;;;;;a.u.;Real-time RT-PCR;4 x 30-s all-out cycling separated by 4 min of rest;Little 2011;20106991;Little JP, Safdar A, Bishop D, Tarnopolsky MA, Gibala MJ. An acute bout of high-intensity interval training increases the nuclear abundance of PGC-1a and activates mitochondrial biogenesis in human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 300: R1303-R1310, 2011
Homo sapiens;1;active;45;vastus lateralis;;HIT;120;2;200;;COX II mRNA;COX II mRNA;1;1,83;1.83;;3;;;;;a.u.;Real-time RT-PCR;4 x 30-s all-out cycling separated by 4 min of rest;Little 2011;20106991;Little JP, Safdar A, Bishop D, Tarnopolsky MA, Gibala MJ. An acute bout of high-intensity interval training increases the nuclear abundance of PGC-1a and activates mitochondrial biogenesis in human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 300: R1303-R1310, 2011
Homo sapiens;1;active;45;vastus lateralis;;HIT;120;2;200;;COX IV mRNA;COX IV mRNA;1;1,76;1.76;;3;;;;;a.u.;Real-time RT-PCR;4 x 30-s all-out cycling separated by 4 min of rest;Little 2011;20106991;Little JP, Safdar A, Bishop D, Tarnopolsky MA, Gibala MJ. An acute bout of high-intensity interval training increases the nuclear abundance of PGC-1a and activates mitochondrial biogenesis in human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 300: R1303-R1310, 2011
Homo sapiens;1;active;45;vastus lateralis;;HIT;120;2;200;;PGC-1a nuclear;PGC-1a nuclear;1;1,66;1.66;;3;;;;;a.u.;Western blot analysis;4 x 30-s all-out cycling separated by 4 min of rest;Little 2011;20106991;Little JP, Safdar A, Bishop D, Tarnopolsky MA, Gibala MJ. An acute bout of high-intensity interval training increases the nuclear abundance of PGC-1a and activates mitochondrial biogenesis in human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 300: R1303-R1310, 2011
Homo sapiens;1;active;45;vastus lateralis;;HIT;120;2;200;;PGC-1a;PGC-1a;1;1,57;1.57;;3;;;;;a.u.;Western blot analysis;4 x 30-s all-out cycling separated by 4 min of rest;Little 2011;20106991;Little JP, Safdar A, Bishop D, Tarnopolsky MA, Gibala MJ. An acute bout of high-intensity interval training increases the nuclear abundance of PGC-1a and activates mitochondrial biogenesis in human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 300: R1303-R1310, 2011
Homo sapiens;1;active;45;vastus lateralis;;HIT;120;2;200;;p38 MAPKp-;p38 MAPKp-;1;2,18;2.18;;0;;;;;a.u.;Western blot analysis;4 x 30-s all-out cycling separated by 4 min of rest;Little 2011;20106991;Little JP, Safdar A, Bishop D, Tarnopolsky MA, Gibala MJ. An acute bout of high-intensity interval training increases the nuclear abundance of PGC-1a and activates mitochondrial biogenesis in human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 300: R1303-R1310, 2011
Homo sapiens;1;active;45;vastus lateralis;;HIT;120;2;200;;ACCp-;ACCp-;1;2,78;2.78;;0;;;;;a.u.;Western blot analysis;4 x 30-s all-out cycling separated by 4 min of rest;Little 2011;20106991;Little JP, Safdar A, Bishop D, Tarnopolsky MA, Gibala MJ. An acute bout of high-intensity interval training increases the nuclear abundance of PGC-1a and activates mitochondrial biogenesis in human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 300: R1303-R1310, 2011
Homo sapiens;1;active;45;vastus lateralis;;HIT;120;2;200;;CS;CS;1;1,3;1.3;;3;;;;;a.u.;Western blot analysis;4 x 30-s all-out cycling separated by 4 min of rest;Little 2011;20106991;Little JP, Safdar A, Bishop D, Tarnopolsky MA, Gibala MJ. An acute bout of high-intensity interval training increases the nuclear abundance of PGC-1a and activates mitochondrial biogenesis in human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 300: R1303-R1310, 2011
Homo sapiens;1;active;45;vastus lateralis;;HIT;120;2;200;;COX II;COX II;1;1,29;1.29;;3;;;;;a.u.;Western blot analysis;4 x 30-s all-out cycling separated by 4 min of rest;Little 2011;20106991;Little JP, Safdar A, Bishop D, Tarnopolsky MA, Gibala MJ. An acute bout of high-intensity interval training increases the nuclear abundance of PGC-1a and activates mitochondrial biogenesis in human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 300: R1303-R1310, 2011
Homo sapiens;1;active;45;vastus lateralis;;HIT;120;2;200;;COX IV;COX IV;1;1,3;1.3;;3;;;;;a.u.;Western blot analysis;4 x 30-s all-out cycling separated by 4 min of rest;Little 2011;20106991;Little JP, Safdar A, Bishop D, Tarnopolsky MA, Gibala MJ. An acute bout of high-intensity interval training increases the nuclear abundance of PGC-1a and activates mitochondrial biogenesis in human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 300: R1303-R1310, 2011
Homo sapiens;1;active;45;vastus lateralis;;HIT;120;2;200;;CS activity;CS activity;1;1,14;1.14;;3;4;4,6;4;4.6;mmol*kg of protein-1*h-1 wet weight;spectrophotometer;4 x 30-s all-out cycling separated by 4 min of rest;Little 2011;20106991;Little JP, Safdar A, Bishop D, Tarnopolsky MA, Gibala MJ. An acute bout of high-intensity interval training increases the nuclear abundance of PGC-1a and activates mitochondrial biogenesis in human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 300: R1303-R1310, 2011
Homo sapiens;1;active;45;vastus lateralis;;HIT;120;2;200;;COX activity;COX activity;1;1,19;1.19;;3;1,8;2,2;1.8;2.2;mmol*kg of protein-1*h-1 wet weight;spectrophotometer;4 x 30-s all-out cycling separated by 4 min of rest;Little 2011;20106991;Little JP, Safdar A, Bishop D, Tarnopolsky MA, Gibala MJ. An acute bout of high-intensity interval training increases the nuclear abundance of PGC-1a and activates mitochondrial biogenesis in human skeletal muscle. Am J Physiol Regul Integr Comp Physiol 300: R1303-R1310, 2011
